   -1.29588e-20 -1 1.64323  -4.30281e-20   1
   11.12     -13.0936 -0.00724272 0.498294  0.999361   -0.00531295
   11.18     -13.0565 -0.0128301 0.489313  0.998596   0.0141699
   11.24     -13.0244 -0.00545221 0.498517  0.999322   0.011824
   11.3     -12.9874 -0.00625697 0.48924  0.998706   -0.00790982
   11.36     -12.9539 -0.0177848 0.498048  0.999291   -0.00315722
   11.42     -12.9168 -0.020192 0.488828  0.998451   0.0160701
   11.48     -12.8847 -0.00963078 0.498068  0.999221   0.0132954
   11.54     -12.8476 -0.00758753 0.488896  0.998571   -0.00650263
   11.6     -12.815 -0.0171351 0.498146  0.99927   -0.00248742
   11.66     -12.7785 -0.0186014 0.48897  0.998452   0.0173055
   11.72     -12.7466 -0.00866743 0.497957  0.999249   0.0136739
   11.78     -12.71 -0.00822688 0.488886  0.998689   -0.00728062
   11.84     -12.6764 -0.0222167 0.498001  0.99928   -0.00229483
   11.9     -12.6389 -0.0276066 0.488906  0.998359   0.0172282
   11.96     -12.6075 -0.0200031 0.498183  0.999537   0.00699042
   12.02     -12.5715 -0.0205652 0.4891  0.999092   -0.0164875
   12.08     -12.5386 -0.0316043 0.498171  0.999568   -0.0139875
   12.14     -12.5021 -0.0339918 0.489068  0.998833   0.0139566
   12.2     -12.4701 -0.0245186 0.498336  0.999323   0.0161569
   12.26     -12.4335 -0.0230796 0.489204  0.998849   -0.00349195
   12.32     -12.4007 -0.0321711 0.498447  0.999437   -0.000268319
   12.38     -12.3642 -0.0332199 0.489256  0.998647   0.0194644
   12.44     -12.3319 -0.0230942 0.498103  0.99933   0.0162755
   12.5     -12.2948 -0.0226127 0.488947  0.998836   -0.00474554
   12.56     -12.2609 -0.0367488 0.497968  0.999357   0.000189512
   12.62     -12.2231 -0.0421474 0.488795  0.998383   0.0196559
   12.68     -12.1917 -0.0343254 0.49809  0.999237   0.0164572
   12.74     -12.1561 -0.034613 0.489081  0.998829   -0.00329921
   12.8     -12.1234 -0.0452695 0.498253  0.999416   -0.000607547
   12.86     -12.0871 -0.0476915 0.489179  0.998649   0.0190099
   12.92     -12.055 -0.0388222 0.498358  0.999314   0.0173769
   12.98     -12.0181 -0.0380654 0.489167  0.998845   -0.00239909
   13.04     -11.985 -0.0478843 0.498345  0.999415   0.000976281
   13.1     -11.9482 -0.0496642 0.489132  0.998555   0.0207575
   13.16     -11.9161 -0.04022 0.498091  0.999288   0.0172042
   13.22     -11.8791 -0.0397229 0.488903  0.998798   -0.00222876
   13.28     -11.8457 -0.0526019 0.49799  0.999366   0.00254979
   13.34     -11.8084 -0.0570535 0.488929  0.998409   0.0220686
   13.4     -11.7768 -0.0487416 0.498143  0.999209   0.0194051
   13.46     -11.7407 -0.048503 0.489068  0.998824   -0.000415668
   13.52     -11.708 -0.0586955 0.49829  0.999408   0.00263477
   13.58     -11.6716 -0.0609347 0.489192  0.998566   0.0224316
   13.64     -11.6396 -0.0523013 0.498333  0.999245   0.0209009
   13.7     -11.6029 -0.0517736 0.48915  0.998685   -0.00577
   13.76     -11.5697 -0.0618752 0.498337  0.999221   -0.00590608
   13.82     -11.5328 -0.0638987 0.489131  0.998418   0.0139107
   13.88     -11.5008 -0.054729 0.498145  0.999219   0.010239
   13.94     -11.4638 -0.0542239 0.488955  0.998529   -0.00906912
   14     -11.4306 -0.0669013 0.498051  0.999197   -0.00405257
   14.06     -11.3935 -0.0713041 0.489042  0.998328   0.015507
   14.12     -11.3618 -0.0631659 0.498259  0.999164   0.0130137
   14.18     -11.3254 -0.0630814 0.489108  0.998571   -0.00667144
   14.24     -11.2924 -0.0734914 0.498218  0.999212   -0.00353378
   14.3     -11.2558 -0.0758327 0.489075  0.998389   0.0161771
   14.36     -11.2238 -0.0670799 0.498243  0.999165   0.0143224
   14.42     -11.187 -0.0663641 0.489058  0.998561   -0.00554518
   14.48     -11.154 -0.0762323 0.498275  0.999217   -0.0020041
   14.54     -11.1172 -0.078024 0.489101  0.998347   0.0177974
   14.6     -11.0852 -0.068565 0.498094  0.999167   0.0141735
   14.66     -11.0483 -0.0680349 0.488939  0.998565   -0.00504268
   14.72     -11.0149 -0.0813502 0.498041  0.999195   0.000204873
   14.78     -10.9777 -0.0862983 0.489018  0.998238   0.0196973
   14.84     -10.946 -0.0785476 0.498269  0.999094   0.017217
   14.9     -10.9097 -0.0789225 0.489112  0.9986   -0.00267613
   14.96     -10.8765 -0.0897603 0.498177  0.999215   0.000364894
   15.02     -10.8399 -0.0922026 0.489059  0.998327   0.0198489
   15.08     -10.8079 -0.0830767 0.498263  0.99911   0.0178703
   15.14     -10.7711 -0.0819953 0.489077  0.998573   -0.00202407
   15.2     -10.7381 -0.09153 0.498301  0.999223   0.00155088
